id_product,name_product,username,rating
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,GiangM,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Mạnh,4
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Bùi Ngọc Hậu,1
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Tấn Hải,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Huỳnh Nguyễn Quanh Minh,1
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Nguyễn Như Ý,1
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Anh Thuận,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Ngoc Phuc,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Anh Thiện,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Y,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Tài,4
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Hà,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Nhật Thiện,4
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,Hưng,5
adapter-chuyen-doi-type-c-4-in-1-xmobile-ds122f,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,A Quang,4
