id_product,name_product,username,rating
cap-type-c-type-c-2m-xmobile-dr-t11?utm_flashsale=1,Cáp Type C - Type C 2m Xmobile DR-T11,Hoàng Lập,3
sac-xe-hoi-type-c-pd-30w-baseus-tiny-star-mini-vchxxc,Sạc xe hơi Baseus VCHXXC,Hướng,1
cap-type-c-1m-xmobile-dr-t10?utm_flashsale=1,Cáp Type C 1m Xmobile DR-T10,Quốc Lượng,5
adapter-sac-type-c-pd-gan-30w-xmobile-ds051a?utm_flashsale=1,Sạc Xmobile DS051A,Hồ Lê Hoài Phong,2
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,Bùi Văn Thủy,2
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,Hữu Nhị,4
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,Triệu Văn Thủy,2
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,Trực,5
cap-type-c-1m-ava-cs-cl0862?utm_flashsale=1,Cáp Type C 1m AVA+ CS-CL0862,Lê Phạm Hoàng Ân,1
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Thanh Lê,3
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Nguyễn Văn Thành,4
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Trần Ngọc Hòa,5
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Phạm Văn Việt,5
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Nguyễn Quốc Điệp,4
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Hoàng Hải Kiên,2
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Đỗ Trọng Thế,4
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Thạch Thị Ái Nhi,5
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Mai Quốc Khang,5
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Huynh Dũng,5
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,Lê Xuân Tú,5
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Hậu Lê,4
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Dương Anh Tuấn,1
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Nguyen Van Phong,5
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Nguyễn Minh Hoàng,5
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Lê Việt Anh,5
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Nhóc,5
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Hoài,3
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,Nguyên Văn Luân,4
